hist_tagname,ign_tagprovider,ign_tagname,ign_fullpath,Imaginary
MTPSVR2.ATPFL002FI01QYF.F_CV,ATP,ATP_PLC01/FL002_FI01/QYF,[ATP]ATP_PLC01/FL002_FI01/QYF,0
MTPSVR2.ATPFL002OV01QZI.F_CV,ATP,ATP_PLC01/FL002_OV01/QZI,[ATP]ATP_PLC01/FL002_OV01/QZI,0
MTPSVR2.ATPFL002PD01QVA.F_CV,ATP,ATP_PLC01/FL002_PD01/QVA,[ATP]ATP_PLC01/FL002_PD01/QVA,0
MTPSVR2.ATPFL002WV01QZI.F_CV,ATP,ATP_PLC01/FL002_WV01/QZI,[ATP]ATP_PLC01/FL002_WV01/QZI,0
MTPSVR2.ATPFL0030000QRN.F_CV,ATP,ATP_PLC01/FL003_0000_QRN,[ATP]ATP_PLC01/FL003_0000_QRN,0
MTPSVR2.ATPFL003FI01QFL.F_CV,ATP,ATP_PLC01/FL003_FI01/QFL,[ATP]ATP_PLC01/FL003_FI01/QFL,0
MTPSVR2.ATPFL003FI01QVA.F_CV,ATP,ATP_PLC01/FL003_FI01/QVA,[ATP]ATP_PLC01/FL003_FI01/QVA,0
MTPSVR2.ATPFL003FI01QYF.F_CV,ATP,ATP_PLC01/FL003_FI01/QYF,[ATP]ATP_PLC01/FL003_FI01/QYF,0
MTPSVR2.ATPFL003OV01QZI.F_CV,ATP,ATP_PLC01/FL003_OV01/QZI,[ATP]ATP_PLC01/FL003_OV01/QZI,0
MTPSVR2.ATPFL003PD01QVA.F_CV,ATP,ATP_PLC01/FL003_PD01/QVA,[ATP]ATP_PLC01/FL003_PD01/QVA,0
MTPSVR2.ATPFL003WV01QZI.F_CV,ATP,ATP_PLC01/FL003_WV01/QZI,[ATP]ATP_PLC01/FL003_WV01/QZI,0
MTPSVR2.ATPFL0040000QRN.F_CV,ATP,ATP_PLC01/FL004_0000_QRN,[ATP]ATP_PLC01/FL004_0000_QRN,0
MTPSVR2.ATPFL004FI01QFL.F_CV,ATP,ATP_PLC01/FL004_FI01/QFL,[ATP]ATP_PLC01/FL004_FI01/QFL,0
MTPSVR2.ATPFL004FI01QVA.F_CV,ATP,ATP_PLC01/FL004_FI01/QVA,[ATP]ATP_PLC01/FL004_FI01/QVA,0
MTPSVR2.ATPFL004FI01QYF.F_CV,ATP,ATP_PLC01/FL004_FI01/QYF,[ATP]ATP_PLC01/FL004_FI01/QYF,0
MTPSVR2.ATPFL004OV01QZI.F_CV,ATP,ATP_PLC01/FL004_OV01/QZI,[ATP]ATP_PLC01/FL004_OV01/QZI,0
MTPSVR2.ATPFL004PD01QVA.F_CV,ATP,ATP_PLC01/FL004_PD01/QVA,[ATP]ATP_PLC01/FL004_PD01/QVA,0
MTPSVR2.ATPFL004WV01QZI.F_CV,ATP,ATP_PLC01/FL004_WV01/QZI,[ATP]ATP_PLC01/FL004_WV01/QZI,0
MTPSVR2.ATPFL00XFI01QVA.F_CV,ATP,ATP_PLC01/FL00X_FI01/QVA,[ATP]ATP_PLC01/FL00X_FI01/QVA,0
MTPSVR2.ATPFL00XNI01QVA.F_CV,ATP,ATP_PLC01/FL00X_NI01/QVA,[ATP]ATP_PLC01/FL00X_NI01/QVA,0
MTPSVR2.ATPFL00XRF01QVA.F_CV,ATP,ATP_PLC01/FL00X_RF01/QVA,[ATP]ATP_PLC01/FL00X_RF01/QVA,0
MTPSVR2.ATPHCT01LI01QVA.F_CV,ATP,ATP_PLC01/HCT01_LI01/QVA,[ATP]ATP_PLC01/HCT01_LI01/QVA,0
MTPSVR2.ATPHCT02LI01QVA.F_CV,ATP,ATP_PLC01/HCT02_LI01/QVA,[ATP]ATP_PLC01/HCT02_LI01/QVA,0
MTPSVR2.ATPSET01LI01QVA.F_CV,ATP,ATP_PLC01/SET01_LI01/QVA,[ATP]ATP_PLC01/SET01_LI01/QVA,0
MTPSVR2.ATPSLP010000QRN.F_CV,ATP,ATP_PLC01/SLP01_0000/QRN,[ATP]ATP_PLC01/SLP01_0000/QRN,0
MTPSVR2.ATPW00010000QRN.F_CV,ATP,ATP_PLC01/W0001_0000/QRN,[ATP]ATP_PLC01/W0001_0000/QRN,0
MTPSVR2.ATPW0001FI01QFL.F_CV,ATP,ATP_PLC01/W0001_FI01/QFL,[ATP]ATP_PLC01/W0001_FI01/QFL,0
MTPSVR2.ATPW0001FI01QVA.F_CV,ATP,ATP_PLC01/W0001_FI01/QVA,[ATP]ATP_PLC01/W0001_FI01/QVA,0
MTPSVR2.ATPW0001FI01QYF.F_CV,ATP,ATP_PLC01/W0001_FI01/QYF,[ATP]ATP_PLC01/W0001_FI01/QYF,0
MTPSVR2.ATPW0001LI01QVA.F_CV,ATP,ATP_PLC01/W0001_LI01/QVA,[ATP]ATP_PLC01/W0001_LI01/QVA,0
MTPSVR2.ATPW00020000QRN.F_CV,ATP,ATP_PLC01/W0002_0000/QRN,[ATP]ATP_PLC01/W0002_0000/QRN,0
MTPSVR2.ATPW0002FI01QFL.F_CV,ATP,ATP_PLC01/W0002_FI01/QFL,[ATP]ATP_PLC01/W0002_FI01/QFL,0
MTPSVR2.ATPW0002FI01QVA.F_CV,ATP,ATP_PLC01/W0002_FI01/QVA,[ATP]ATP_PLC01/W0002_FI01/QVA,0
MTPSVR2.ATPW0002FI01QYF.F_CV,ATP,ATP_PLC01/W0002_FI01/QYF,[ATP]ATP_PLC01/W0002_FI01/QYF,0
MTPSVR2.ATPW0002LI01QVA.F_CV,ATP,ATP_PLC01/W0002_LI01/QVA,[ATP]ATP_PLC01/W0002_LI01/QVA,0
MTPSVR2.ATPW000XFI01QVA.F_CV,ATP,ATP_PLC01/W000X_FI01/QVA,[ATP]ATP_PLC01/W000X_FI01/QVA,0
MTPSVR2.ATPY00010000QSI.F_CV,ATP,ATP_PLC01/Y0001_0000/QSI,[ATP]ATP_PLC01/Y0001_0000/QSI,0
MTPSVR2.ATPY00020000QSI.F_CV,ATP,ATP_PLC01/Y0002_0000/QSI,[ATP]ATP_PLC01/Y0002_0000/QSI,0
MTPSVR2.ATPETK1LIQ04.F_CV,ATP,AYT_PLC01/ATPETK1LIQ04,[ATP]AYT_PLC01/ATPETK1LIQ04,1
MTPSVR2.AYTETK01FI01QFL.F_CV,ATP,AYT_PLC01/ETK01_FI01/QFL,[ATP]AYT_PLC01/ETK01_FI01/QFL,0
MTPSVR2.AYTETK01FI01QVA.F_CV,ATP,AYT_PLC01/ETK01_FI01/QVA,[ATP]AYT_PLC01/ETK01_FI01/QVA,0
MTPSVR2.AYTETK01FI01QYF.F_CV,ATP,AYT_PLC01/ETK01_FI01/QYF,[ATP]AYT_PLC01/ETK01_FI01/QYF,0
MTPSVR2.AYTETK01FI02QFL.F_CV,ATP,AYT_PLC01/ETK01_FI02/QFL,[ATP]AYT_PLC01/ETK01_FI02/QFL,0
MTPSVR2.AYTETK01FI02QVA.F_CV,ATP,AYT_PLC01/ETK01_FI02/QVA,[ATP]AYT_PLC01/ETK01_FI02/QVA,0
MTPSVR2.AYTETK01FI02QYF.F_CV,ATP,AYT_PLC01/ETK01_FI02/QYF,[ATP]AYT_PLC01/ETK01_FI02/QYF,0
MTPSVR2.AYTETK01LI01QVA.F_CV,ATP,AYT_PLC01/ETK01_LI01/QVA,[ATP]AYT_PLC01/ETK01_LI01/QVA,0
MTPSVR2.AYTETK01LI01VCA.F_CV,ATP,AYT_PLC01/ETK01_LI01_MASL/VCA,[ATP]AYT_PLC01/ETK01_LI01_MASL/VCA,0
MTPSVR2.AYTETK01RF01QVA.F_CV,ATP,AYT_PLC01/ETK01_RF01/QVA,[ATP]AYT_PLC01/ETK01_RF01/QVA,0
MTPSVR2.BMS_BM00_FI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM00_FI_Q01,[BMS]BMS_PLC01/BMS_BM00_FI_Q01,1
MTPSVR2.BMS_BM02_FI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM02_FI_Q01,[BMS]BMS_PLC01/BMS_BM02_FI_Q01,1
MTPSVR2.BMS_BM02_FI_QYF.F_CV,BMS,BMS_PLC01/BMS_BM02_FI_QYF,[BMS]BMS_PLC01/BMS_BM02_FI_QYF,1
MTPSVR2.BMS_BM02_LI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM02_LI_Q01,[BMS]BMS_PLC01/BMS_BM02_LI_Q01,1
MTPSVR2.BMS_BM02_TI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM02_TI_Q01,[BMS]BMS_PLC01/BMS_BM02_TI_Q01,1
MTPSVR2.BMS_BM03_FI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM03_FI_Q01,[BMS]BMS_PLC01/BMS_BM03_FI_Q01,1
MTPSVR2.BMS_BM03_FI_QYF.F_CV,BMS,BMS_PLC01/BMS_BM03_FI_QYF,[BMS]BMS_PLC01/BMS_BM03_FI_QYF,1
MTPSVR2.BMS_BM03_LI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM03_LI_Q01,[BMS]BMS_PLC01/BMS_BM03_LI_Q01,1
MTPSVR2.BMS_BM03_TI_Q01.F_CV,BMS,BMS_PLC01/BMS_BM03_TI_Q01,[BMS]BMS_PLC01/BMS_BM03_TI_Q01,1
MTPSVR2.BMS_BWL1_FI_Q01.F_CV,BMS,BMS_PLC01/BMS_BWL1_FI_Q01,[BMS]BMS_PLC01/BMS_BWL1_FI_Q01,1
MTPSVR2.BMS_BWL1_FI_QMY.F_CV,BMS,BMS_PLC01/BMS_BWL1_FI_QMY,[BMS]BMS_PLC01/BMS_BWL1_FI_QMY,1
MTPSVR2.BMS_CFR1_AI_Q01.F_CV,BMS,BMS_PLC01/BMS_CFR1_AI_Q01,[BMS]BMS_PLC01/BMS_CFR1_AI_Q01,1
MTPSVR2.BMS_CFR2_AI_Q01.F_CV,BMS,BMS_PLC01/BMS_CFR2_AI_Q01,[BMS]BMS_PLC01/BMS_CFR2_AI_Q01,1
MTPSVR2.BMS_FL00_00_RRN.F_CV,BMS,BMS_PLC01/BMS_FL00_00_RRN,[BMS]BMS_PLC01/BMS_FL00_00_RRN,1
MTPSVR2.BMS_FL00_NI_Q01.F_CV,BMS,BMS_PLC01/BMS_FL00_NI_Q01,[BMS]BMS_PLC01/BMS_FL00_NI_Q01,1
MTPSVR2.BMS_FL00_PI_Q01.F_CV,BMS,BMS_PLC01/BMS_FL00_PI_Q01,[BMS]BMS_PLC01/BMS_FL00_PI_Q01,1
MTPSVR2.BMS_RES0_CA_QCT.F_CV,BMS,BMS_PLC01/BMS_RES0_CA_QCT,[BMS]BMS_PLC01/BMS_RES0_CA_QCT,1
MTPSVR2.BMS_RES0_LI_Q01.F_CV,BMS,BMS_PLC01/BMS_RES0_LI_Q01,[BMS]BMS_PLC01/BMS_RES0_LI_Q01,1
MTPSVR2.BMS_SHT1_LI_Q01.F_CV,BMS,BMS_PLC01/BMS_SHT1_LI_Q01,[BMS]BMS_PLC01/BMS_SHT1_LI_Q01,1
MTPSVR2.BMS_SHT1_NI_Q01.F_CV,BMS,BMS_PLC01/BMS_SHT1_NI_Q01,[BMS]BMS_PLC01/BMS_SHT1_NI_Q01,1
MTPSVR2.BMS_TWL1_FI_Q01.F_CV,BMS,BMS_PLC01/BMS_TWL1_FI_Q01,[BMS]BMS_PLC01/BMS_TWL1_FI_Q01,1
MTPSVR2.BMS_TWL1_FI_Q02.F_CV,BMS,BMS_PLC01/BMS_TWL1_FI_Q02,[BMS]BMS_PLC01/BMS_TWL1_FI_Q02,1
MTPSVR2.BMS_TWL1_FI_QMY.F_CV,BMS,BMS_PLC01/BMS_TWL1_FI_QMY,[BMS]BMS_PLC01/BMS_TWL1_FI_QMY,1
MTPSVR2.BMS_TWL1_FI_QYF.F_CV,BMS,BMS_PLC01/BMS_TWL1_FI_QYF,[BMS]BMS_PLC01/BMS_TWL1_FI_QYF,1
MTPSVR2.BMS_TWL1_FI_VYF.F_CV,BMS,BMS_PLC01/BMS_TWL1_FI_VYF,[BMS]BMS_PLC01/BMS_TWL1_FI_VYF,1
MTPSVR2.BMS_TWL1_NI_Q01.F_CV,BMS,BMS_PLC01/BMS_TWL1_NI_Q01,[BMS]BMS_PLC01/BMS_TWL1_NI_Q01,1
MTPSVR2.BMS_TWL1_PI_Q01.F_CV,BMS,BMS_PLC01/BMS_TWL1_PI_Q01,[BMS]BMS_PLC01/BMS_TWL1_PI_Q01,1
MTPSVR2.BMS_Y001_00_QSI.F_CV,BMS,BMS_PLC01/BMS_Y001_00_QSI,[BMS]BMS_PLC01/BMS_Y001_00_QSI,1
MTPSVR2.BMS_Y002_00_QSI.F_CV,BMS,BMS_PLC01/BMS_Y002_00_QSI,[BMS]BMS_PLC01/BMS_Y002_00_QSI,1
MTPSVR2.BMSBM01FIQ01.F_CV,BMS,BMS_PLC01/BMSBM01FIQ01,[BMS]BMS_PLC01/BMSBM01FIQ01,1
